,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Total Wastage,Georeferenced Latitude & Longitude
1071,AHN-Allegheny Valley Hospital,1301 Carlisle Street,Natrona Heights,Pennsylvania,15065,Allegheny,7,0,0,31,225,80,343,-79.737106 40.617378
1072,WellSpan OB GYN-S Queen Street,2050 S Queen St,York,Pennsylvania,17403,York,0,0,0,12,44,0,56,-76.694325 39.938906
1073,Wellspan Ephrata Community Hospital,PHARMACY DEPARTMENT 169 MARTIN AVENUE,EPHRATA,PENNSYLVANIA,17522,Lancaster,1,0,0,17,23,0,41,
1074,Morris Drug,15 East Centre St,Mahanoy City,Pennsylvania,17948,Schuylkill,0,0,0,225,0,200,425,-76.141257 40.812812
1075,VDI-Duncansville Pharmacy Inc,1328 Third Ave PO Box 126,Duncansville,Pennsylvania,16635,Blair,0,0,0,1483,97,800,2380,
1076,Waltmire Pharmacy,1435 Spring Garden Ave,Pittsburgh,Pennsylvania,15212,Allegheny,0,0,0,40,747,811,1598,-79.986847 40.462784
1077,WellSpan OB/GYN Chambersburg,12 St Paul Dr,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,35,0,35,-77.634763 39.943292
1078,Guthrie Medical Group-Towanda,132 Colonial Drive,Towanda,Pennsylvania,18848,Bradford,19,0,0,168,113,3,303,-76.452357 41.782525
1079,M Nazeeri MD PC,1023 Poplar Street,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,0,35,418,453,-76.426967 40.330669
1080,Hyndman Area Health Center,144 5th Avenue PO Box 706,Hyndman,Pennsylvania,15545,Bedford,0,0,0,0,1,30,31,-78.716932 39.817234
1081,Huntingdon Family Care Center,835 Washington Street,Huntingdon,Pennsylvania,16652,Huntingdon,0,0,0,10,31,0,41,-78.017188 40.488302
1082,VDI-Brockway Drug Co Inc,1365 Main Street,Brockway,Pennsylvania,15824,Jefferson,0,0,0,26,2,0,28,-78.787189 41.246971
1083,FPC Montoursville Fam Prac Cntr,1500 Broad St,Montoursville,Pennsylvania,17754,Lycoming,0,0,0,0,38,0,38,-76.900042 41.246108
1084,Greenville Pharmacy,43 Williamson Road,Greenville,Pennsylvania,16125,Mercer,0,0,0,0,44,0,44,-80.358776 41.412859
1085,VDI-Brown Pharmacy Troy,63 Canton Street,Troy,Pennsylvania,16947,Bradford,0,9,0,26,1,48,84,-76.792119 41.77575
1086,Hixenbaughs Drug Store,304 morgantown st po box 932,Uniontown,Pennsylvania,15401,Fayette,0,0,0,5,9,0,14,-79.732378 39.893707
1087,Family Health Associates-Apple Hill,25 Monument Rd,York,Pennsylvania,17403,York,0,0,0,694,0,0,694,-76.716233 39.923562
1088,LVPG Pediatrics-Trexlertown,6900 Hamilton Blvd PO Box 60,Trexlertown,Pennsylvania,18087,Lehigh,0,0,0,0,5,0,5,-75.594111 40.551734
1089,ccmh-Charles Cole Memorial Hospital,1001 East Second Street,Coudersport,Pennsylvania,16915,Potter,2,3,0,7,168,65,245,-77.979741 41.770667
1090,Penn Highlands Clearfield,809 Turnpike Avenue,Clearfield,Pennsylvania,16830,Clearfield,13,3,0,137,10,0,163,-78.449999 41.033012
1091,Mifflin Cnty Correctional Fac,103 W. Market St.,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,0,177,49,226,-77.576221 40.596459
1092,PHN-Autumn Street Health Center,99 Autumn Street,Aliquippa,Pennsylvania,15001,Beaver,0,0,0,19,39,66,124,-80.317196 40.635873
1093,Wellspan Family Medicine-Terre Hill,770 Broad Street PO Box 130,East Earl,Pennsylvania,17519,Lancaster,0,4,2,77,45,50,178,-76.052668 40.164213
1094,GIANT PHARMACY-6079,"275 PAULINE DR, S YORK PLZ",YORK,PA,17402,York,12,0,0,283,415,280,990,
1095,Lawrenceville Laurel Health Center,32 East Lawrence Road,Lawrenceville,Pennsylvania,16929,Tioga,0,0,0,0,24,0,24,-77.035276 41.990534
1096,WellSpan OB/GYN-Dover,3992 Carlisle Road,Dover,PA,17315,York,0,0,0,24,24,0,48,-76.8422 39.992892
1097,St. Lukes Uni  Hlth Network Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,0,0,0,39,95,0,134,
1098,Community Health Net,1202 State Street Administration,Erie,Pennsylvania,16501,Erie,0,11,0,109,0,761,881,-80.081095 42.123249
1099,Adagio Health-Edinboro,118 E. Plum Street,Edinboro,Pennsylvania,16412,Erie,0,0,0,0,423,367,790,-80.129538 41.875503
1100,Grove City Primary Care,647 N BROAD ST EXT,Grove City,Pennsylvania,16127,Mercer,0,0,0,0,15,0,15,-80.083587 41.171761
1101,Martins Pharmacy 6524,2121 South Atherton Street,State College,Pennsylvania,16801,Centre,0,10,0,9,390,0,409,-77.831339 40.78488
1102,Knights Medical Associates,3034 Knights Rd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,356,0,356,-74.950237 40.105361
1103,GIANT PHARMACY-6074,3015 W EMAUS AVE,Allentown,Pennsylvania,18103,Lehigh,0,0,0,28,874,0,902,-75.481717 40.557741
1104,Millcreek Community Hospital,5515 Peach street,Erie,Pennsylvania,16509,Erie,0,1,0,4,73,1372,1450,-80.093735 42.074141
1105,LGH-Sycamore Square Family Medicine,99 Masonic Drive,Elizabethtown,Pennsylvania,17022,Lancaster,0,0,0,6,15,0,21,-76.641546 40.137397
1106,St Mary Medical Center,St. Mary Medical Center Pharmacy 1201 Langhorne-Newtown Rd,Langhorne,Pennsylvania,19047,Bucks,0,0,0,71,562,0,633,
1107,LGH-Parkesburg Family Medicine,950 South Octorara Trail,Parkesburg,Pennsylvania,19365,Chester,0,0,0,53,182,12,247,-75.931429 39.979921
1108,PHN-Oil City Health Center,811 Grandview Road,Oil City,Pennsylvania,16301,Venango,0,0,0,17,47,0,64,-79.688285 41.441355
1109,Endless Mountains Pharmacy,1638 State Route 106 PO Box 189,Clifford,Pennsylvania,18413,Susquehanna,0,0,0,337,0,991,1328,-75.598087 41.648539
1110,UPMC-Kane Community Hospital,4372 Rt 6,Kane,Pennsylvania,16735,McKean,0,0,0,0,32,204,236,-78.731025 41.673401
1111,JC Blair Med Srvs-Primary Care Ctr,790 Bryan Street,Huntingdon,Pennsylvania,16652,Huntingdon,0,0,0,7,79,170,256,-78.011507 40.49342
1112,Pagoda Pharmacy,600,Reading,Pennsylvania,19601,Berks,0,0,0,0,434,380,814,
1113,PHN Lewistown Comm Hlth Ctr,106 Derry Heights,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,8,94,0,102,-77.577034 40.643141
1114,Wellspan Fam Med-Roosevelt Ave,1401 Roosevelt Avenue,York,PA,17404,York,0,0,0,77,8,0,85,-76.758734 39.97938
1115,AHOLD USA-GIANT PHARMACY-6088,450 E MAIN ST,Middletown,Pennsylvania,17057,Dauphin,0,0,0,637,388,64,1089,-76.7227 40.201236
1116,Haydens Pharmacy,505 NORTH FOURTH STREET EXCELA MEDICAL BUILDING,Youngwood,Pennsylvania,15697,Westmoreland,0,0,0,0,0,2340,2340,-79.574993 40.246111
1117,John Manubay MD LLC,4400 Penn Ave,Sinking Spring,Pennsylvania,19608,Berks,0,13,0,14,6,0,33,-76.031422 40.326169
1118,LGHP-Willow Street Family Medicine,222 Willow Valley Lakes Drive,Willow Street,Pennsylvania,17584,Lancaster,0,0,0,15,326,0,341,-76.273722 39.986442
1119,Giant Pharmacy-6284,1824 RIDGE PK,ROYERSFORD,PA,19468,Montgomery,0,0,0,20,931,45,996,
1120,SCI-Phoenix,1200 Mokychic Drive,Collegeville,PA,19426,Montgomery,5,1,0,56,5,270,337,
1121,Minnichs Pharmacy,976 S. George St,York,Pennsylvania,17403,York,0,113,0,960,15,432,1520,-76.720984 39.947453
1122,GIANT PHARMACY-6265,1201 KNAPP ROAD,NORTH WALES,PA,19454,Montgomery,0,0,0,0,1751,0,1751,-75.240973 40.226013
1123,WellSpan Internal Medicine New Holland,435 S Kinzer Avenue,New Holland,Pennsylvania,17557,Lancaster,0,0,0,0,89,12,101,-76.073006 40.097895
1124,Chalfont Pharmacy Inc,1700 Horizon Dr,Chalfont,Pennsylvania,18914,Bucks,0,0,0,8,385,591,984,-75.218872 40.261016
1125,Cornerstone Care Ped Ctr-Waynesburg,236 Elm Drive,Waynesburg,Pennsylvania,15370,Greene,0,0,0,51,23,0,74,-80.148526 39.897175
1126,Interim HealthCare-Western PA,127 N BRADY ST,Du Bois,Pennsylvania,15801,Clearfield,0,6,0,49,112,184,351,-78.760307 41.119414
1127,AHN SVMG Millcreek Fam Prac Int Med,2501 W 12TH ST,Erie,Pennsylvania,16505,Erie,0,0,0,0,18,0,18,-80.137229 42.102887
1128,SCI-Forest,286 Woodland Drive,Marienville,Pennsylvania,16239,Forest,0,0,0,26,13,200,239,-79.101012 41.482167
1129,AHOLD USA-GIANT PHARMACY-6112,255 S SPRING GARDEN STREET,CARLISLE,PA,17013,Cumberland,0,0,0,41,377,70,488,-77.181721 40.196578
1130,Kennies Pharmacy-Spring Grove,440 N Main St,Spring Grove,Pennsylvania,17362,York,0,0,0,0,24,0,24,-76.862173 39.884416
1131,SCI-Huntingdon,1100 Pike Street,Huntingdon,Pennsylvania,16654,Huntingdon,0,0,0,3,378,50,431,-78.02581 40.489004
1132,PHN-Wayne Primary Care,650 East Avenue,Erie,Pennsylvania,16503,Erie,0,0,0,0,0,20,20,-80.06264 42.137121
1133,Giant (Martins Pharmacy 6523,2180 West Chester Pike,Broomall,Pennsylvania,19008,Delaware,0,0,0,103,34,0,137,-75.344996 39.979161
1134,UPMC Williamsport Regional Med Ctr,700 High Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,0,169,160,329,-77.014432 41.24547
1135,Black Creek Health Center,75 Pineapple Street,Nuremberg,Pennsylvania,18241,Schuylkill,0,0,0,2,38,0,40,
1136,AHOLD USA-GIANT PHARMACY-6313,2174 WEST UNION BOULEVARD,BETHLEHEM,PA,18018,Lehigh,5,0,0,45,1020,0,1070,-75.418335 40.626563
1137,SCI-Laurel Highlands,5706 Glades Pike Road,Somerset,Pennsylvania,15501,Somerset,0,0,0,28,0,0,28,-79.040912 40.002438
1138,WellSpan Internl Med St.Charles Wy,370 St. Charles Way,York,Pennsylvania,174024647,York,0,0,0,0,89,0,89,-76.694658 39.927244
1139,Horsham Square Pharmacy,575 Horsham Road Unit C20,Horsham,Pennsylvania,19044,Montgomery,4,0,0,0,359,0,363,-75.146415 40.188588
1140,UPMC Susquehanna-Williamsport,700 High Street,Williamsport,Pennsylvania,17701,Lycoming,21,41,0,142,527,160,891,-77.014432 41.24547
1141,LGH-Lititz Family Medicine,562 West 2nd Avenue,Lititz,Pennsylvania,17543,Lancaster,0,0,0,18,87,220,325,-76.315752 40.153026
1142,Dingmans Medical,1592 Route 739,Dingmans Ferry,Pennsylvania,18328,Pike,0,0,0,0,230,0,230,-74.920273 41.272837
1143,VDI-Ferri Pharmacy,3907 Old William Penn Hwy,Murrysville,Pennsylvania,15668,Westmoreland,0,0,0,84,7,0,91,-79.697239 40.428342
1144,Melmark,2600 Wayland Road,Berwyn,Pennsylvania,19312,Chester,1,30,0,0,0,0,31,-75.447562 39.99767
1145,New Castle Pharmacy,1112 South Mill Street,New Castle,Pennsylvania,16101,Lawrence,0,0,0,44,0,0,44,-80.343873 40.987843
1146,UPMC-MOON MED ASSOCIATES,1600 Coraopolis Heights Road,Coraopolis,Pennsylvania,151084316,Allegheny,0,0,0,0,395,0,395,-80.207081 40.498944
1147,SCI-Chester,500 E. 4th Street,Chester,Pennsylvania,19013,Delaware,0,0,0,736,0,0,736,-75.352794 39.851391
1148,Valley Care Pharmacy,940 Jefferson Ave.,Scranton,Pennsylvania,18510,Lackawanna,0,0,0,0,271,906,1177,-75.651505 41.415151
1149,CHOP Care Network-Broomall,2000 Sproul Rd,Broomall,Pennsylvania,19008,Delaware,0,0,0,0,651,0,651,-75.357357 39.963018
1150,Rx Xpress Pharmacy,111 Mill Street Grove City,Grove City,Pennsylvania,16127,Mercer,0,0,0,401,305,846,1552,-80.088992 41.161823
1151,AHOLD USA-GIANT PHARMACY-6287,1000 SCOTT TOWN CENTER,BLOOMSBURG,PA,17815,Columbia,0,0,0,1387,155,100,1642,-76.435938 41.005763
1152,Wellspan Ped  Medic joppa Rd,2675 Joppa Rd,York,Pennsylvania,17403,York,0,0,0,0,64,66,130,-76.708467 39.907708
1153,AHN-AC FM FPMAS ELIZABETH,605 Scenery Drive,ELIZABETH,PA,150372000,Allegheny,0,0,0,0,26,0,26,-79.838704 40.272263
1154,Salib Oncology and Hematology,3465 NAZARETH ROAD,Easton,Pennsylvania,18045,Northampton,0,0,0,395,0,98,493,-75.275191 40.705905
1155,Erics RX Shoppe,810 Welsh Rd,Horsham,Pennsylvania,19044,Montgomery,0,0,0,0,295,56,351,-75.179165 40.178356
1156,GHS JNJ  West Chester,1310 Goshen Parkway Global Health Services,West Chester,Pennsylvania,19380,Chester,0,0,0,0,5,0,5,-75.56911 39.987808
1157,VDI-Boalsburg Apothecary,3901 S Atherton St,State College,Pennsylvania,16801,Centre,0,0,0,398,1,0,399,-77.801278 40.781213
1158,Cornerstone Care-Rogersville,140 Church Street PO Box 440,Rogersville,Pennsylvania,15359,Greene,0,0,0,66,17,10,93,-80.18608 39.89815
1159,Spartan Pharmacy,3526 BROWNSVILLE ROAD,Pittsburgh,Pennsylvania,15227,Allegheny,0,0,0,0,668,0,668,-79.975566 40.37412
1160,Wyoming County SHC,5632 SR 6,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,77,8,60,145,-75.963812 41.568522
1161,VDI-DANVILLE PHARMACY,439 MILL ST,Danville,Pennsylvania,17821,Montour,2,1,0,35,4,220,262,-76.616325 40.96461
1162,VDI-Birdsboro Pharmacy,200 W First Street,Birdsboro,Pennsylvania,19508,Berks,0,0,0,46,43,0,89,-75.808762 40.263465
1163,AHN Ped Ped Ally Chartiers McMurray,3001 Waterdam Plaza Drive,Mc Murray,Pennsylvania,15317,Washington,0,0,0,4,132,0,136,-80.135651 40.264143
1164,York County SHC,1750 North George Street,York,Pennsylvania,174041807,York,0,0,0,0,58,0,58,-76.735442 39.985196
1165,Keystone Internal Medicine,830 5th Ave. Suite 201,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,78,0,78,-77.644983 39.945106
1166,DR MOLLY TROSTLE DO INTERNAL MED,881 Hills Plaza Dr,Ebensburg,Pennsylvania,15931,Cambria,0,0,0,1,15,0,16,-78.75919 40.469523
1167,ELFHCC-E Liberty Fam Hlth Care Ctr,6023 HARVARD ST,Pittsburgh,Pennsylvania,15206,Allegheny,3,0,0,233,0,10,246,-79.923188 40.462774
1168,UPMC Horizon Tran Cre Shenango,2200 Memorial Drive,Farrell,Pennsylvania,16121,Mercer,0,0,0,9,117,9,135,-80.470677 41.209415
1169,Cumberland County SHC,431 East North Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,7,40,0,47,-77.179228 40.203803
1170,Fort Washington Estates,735 Susquehanna Road,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,0,19,0,19,-75.196327 40.158692
1171,Berwick Hospital Center,701 East 16th St. Pharmacy,Berwick,Pennsylvania,18603,Columbia,0,9,0,62,17,10,98,-76.230804 41.070159
1172,The Wright Center-Clarks Summit,1145 Northern Boulevard,Clarks Summit,Pennsylvania,18411,Lackawanna,0,0,0,24,329,0,353,-75.696208 41.488382
1173,NEPA Community Health Care-Montrose,498 South Main Street,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,82,130,0,212,-75.879149 41.832584
1174,AHN-Century III Medical Associates,2027 Lebanon Church Road 2nd Floor,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,9,0,0,9,-79.949494 40.348056
1175,AHN AC IM Washing Internal Medic,400 LOCUST AVE,Washington,Pennsylvania,15301,Washington,0,0,0,21,0,0,21,-80.242359 40.181315
1176,WellSpan York Hospital OB/GYN,1101 Edgar Street,York,Pennsylvania,17403,York,0,0,0,0,35,0,35,-76.710832 39.951261
1177,University of Pittsburgh,4041 Fifth Avenue 3719 Terrace Street,Pittsburgh,Pennsylvania,15213,Allegheny,4,2,0,275,261,45,587,
1178,Family Practice Center of Newtown,638 Newtown-Yardley Rd,Newtown,Pennsylvania,18940,Bucks,0,0,0,0,840,0,840,-74.921132 40.229228
1179,Masland Associates,220 Wilson Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,49,40,0,89,-77.202874 40.198526
1180,Bethlehem Health Bureau,10 East Church Street,Bethlehem (Part-Lehigh,Pennsylvania,18018,Lehigh,0,0,0,3,16,1105,1124,-75.37845 40.618703
1181,SCI-Camp Hill,2500 LISBURN ROAD,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,12,0,12,-76.924054 40.217149
1182,MARTINS PHARMACY-6290,800 VANDERBILT ROAD,CONNELLSVILLE,PA,15425,Fayette,0,0,0,22,578,0,600,-79.603029 40.018548
1183,Genoa Healthcare 00144,119 WALNUT ST,Johnstown,Pennsylvania,15901,Cambria,0,0,0,86,0,0,86,-78.921131 40.327745
1184,UPMC-Northwest,100 Fairfield Drive,Seneca,Pennsylvania,16346,Venango,2,6,0,420,125,181,734,-79.707926 41.360026
1185,WHS-Waterdam Pediatrics,2001 Waterdam Plaza,Mc Murray,Pennsylvania,15317,Washington,0,0,0,1,0,0,1,-80.135057 40.263689
1186,Mainline Pharmacy-Hastings,317 Beaver St.,Hastings,Pennsylvania,16646,Cambria,0,0,0,0,1544,0,1544,-78.712152 40.665551
1187,Integrated Health 21,2403 SIDNEY STREET SUITE 220,Pittsburgh,Pennsylvania,15203,Allegheny,0,0,0,40,260,10,310,-79.96965 40.428767
1188,Wellspan Pharmacy-Apple Hill,25 Monument Rd,York,Pennsylvania,17403,York,0,0,0,23,168,138,329,-76.716233 39.923562
1189,SLUHN-Monroe,100 St. Lukes Lane,Stroudsburg,Pennsylvania,18360,Monroe,30,2,0,399,178,0,609,-75.261786 40.997966
1190,UPMC-St Margaret Hospital,815 Freeport   Road,Pittsburgh,Pennsylvania,15215,Allegheny,2,3,1,23,929,1178,2136,-79.896038 40.487472
1191,St Lukes Allentown Campus,1736 HAMILTON BLVD Inpatient Pharmacy - 2nd Floor,Allentown,Pennsylvania,18104,Lehigh,0,1,0,2,31,0,34,
1192,Tower Health-Laureldale Fam Med,3212 Kutztown Road,Laureldale,Pennsylvania,19605,Berks,0,13,0,0,45,0,58,-75.920253 40.384945
1193,Centerville Clinics-Connellsville,601 South Arch Street,Connellsville,Pennsylvania,15425,Fayette,0,0,0,0,63,0,63,-79.591075 40.012724
1194,GIANT PHARMACY-6317,967 S TOWNSHIP LINE RD,ROYERSFORD,PA,19468,Montgomery,0,0,0,77,935,10,1022,-75.528951 40.193476
1195,UPMC Altoona,620 HOWARD AVENUE,ALTOONA,PENNSYLVANIA,16601,Blair,0,0,0,0,153,0,153,-78.398184 40.521142
1196,GIANT PHARMACY-6335,2641 MACARTHUR ROAD,WHITEHALL,PA,18052,Lehigh,0,0,0,37,699,0,736,-75.493171 40.645387
1197,VDI-See Right Pharmacy,2647 N 6th St,Harrisburg,Pennsylvania,17110,Dauphin,0,12,0,132,28,0,172,-76.894576 40.289845
1198,VIP Pharmacy,7737 New Falls Rd,Levittown,Pennsylvania,19055,Bucks,0,0,0,0,120,226,346,-74.847816 40.160519
1199,Burick Cntr for Hlth and Wellnss,2005 Technology Parkway,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,0,63,0,63,-76.976706 40.284946
1200,WellSpan OB/GYN-Stonebridge,13515 WOLFE RD,New Freedom,Pennsylvania,17349,York,0,0,0,0,0,24,24,-76.662289 39.774663
1201,Robert Packer Hospital,One Guthrie Square,Sayre,Pennsylvania,18840,Bradford,0,0,0,88,255,0,343,
1202,Kids Plus Pediatrics-SQH,4070 Beechwood Blvd,Pittsburgh,Pennsylvania,15217,Allegheny,0,0,0,237,62,1278,1577,-79.938382 40.426975
1203,Geisinger Lewistown Hospital,400 Highland Ave Pharmacy Dept. 6th floor,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,0,103,0,103,-77.567402 40.617853
1204,Nemours DuPont Ped Collegeville,100 Campus Drive,Collegeville,Pennsylvania,19426,Montgomery,0,0,0,0,169,0,169,-75.467681 40.158901
1205,Armstrong County Memorial Hospital,1 NOLTE DR,Kittanning,Pennsylvania,16201,Armstrong,47,10,0,365,191,1453,2066,-79.562335 40.812095
1206,Penn Medicine at Valley Forge,1001 Chesterbrook Blvd,Berwyn,Pennsylvania,19312,Chester,0,0,0,55,78,0,133,-75.46303 40.063552
1207,LVPG-Coordinated Health Pittston,1120 Oak Street,Pittston,Pennsylvania,18640,Luzerne,0,72,0,123,16,15,226,-75.770445 41.307967
1208,Duquesne Uni-Ctr for Pharm Care,600 Forbes Avenue 215 A Student Union,Pittsburgh,Pennsylvania,15282,Allegheny,0,0,0,33,519,60,612,
1209,Aspire Health Concepts Inc,49 Prince Street,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,731,100,0,831,-76.810498 40.302349
1210,KRVF LLC (DBA-Shenandoah Pharmacy,33 N Main Street,Shenandoah,Pennsylvania,17976,Schuylkill,0,0,0,0,2017,0,2017,-76.201315 40.820797
1211,GIANT PHARMACY-6518,2350 SUSQUEHANNA ROAD,ROSLYN,PA,19001,Montgomery,0,0,0,202,358,0,560,-75.134547 40.12179
1212,Scranton Prim Hlth Cre Ctr Inc,959 Wyoming Avenue,Scranton,Pennsylvania,18509,Lackawanna,0,0,0,80,123,85,288,-75.654803 41.418076
1213,Small Town Pharmacy 2,80 W. Germantown Pike,Norristown,Pennsylvania,19401,Montgomery,0,0,0,12,296,308,616,-75.318331 40.14513
1214,Family Health Associates Bonneview,810 Bonneview Road,York,Pennsylvania,17406,York,0,0,0,682,0,0,682,-76.706919 39.9842
1215,Wellsboro Laurel Health Center,7 Water Street,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,27,0,27,-77.301143 41.749471
1216,VaxCare-Lycoming Internal Med Inc,1 Outlet Lane,Lock Haven,Pennsylvania,17745,Clinton,0,0,0,36,198,0,234,-77.356405 41.152833
1217,CHOP Care Network-Norristown,1437 Dekalb Street,Norristown,Pennsylvania,19401,Montgomery,0,0,0,25,189,120,334,-75.332612 40.123945
1218,Doylestown Hospital,595 W State St,Doylestown,Pennsylvania,18901,Bucks,26,1,0,158,594,72,851,-75.149449 40.302543
1219,GIANT PHARMACY-6506,50 E WYNNEWOOD RD STORE #2,Wynnewood,Pennsylvania,19096,Montgomery,0,0,0,54,1121,0,1175,-75.273517 40.002279
1220,Fulton County SHC,182 Buchanan Trail PO Box 666,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,0,49,0,49,-77.988451 39.928358
1221,MARTINS PHARMACY-6288,221 GLIMCHER DRIVE,DUNCANSVILLE,PA,16635,Blair,0,0,0,60,845,0,905,-78.410863 40.432065
1222,Wayne Memorial Hospital,601 Park Street,Honesdale,Pennsylvania,18431,Wayne,0,0,0,17,0,149,166,-75.259796 41.576284
1223,Giant Pharmacy-6279,277 Hershey Road,Hummelstown,Pennsylvania,17036,Dauphin,0,0,0,14,263,0,277,-76.698205 40.311635
1224,Bradford County SHC,142 Colonial Drive,Towanda,Pennsylvania,18848,Bradford,0,0,0,30,0,0,30,-76.452867 41.78228
1225,Wright Ctr for Com Hlth Scrntn Prac,501 S Washington Avenue,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,70,141,0,211,-75.67015 41.402072
1226,Evangelical Community Hospital,1 Hospital Drive,Lewisburg,Pennsylvania,17837,Union,0,0,0,94,105,210,409,-76.91638 41.010004
1227,VDI-Wileys Pharmacy Lancaster,903 NISSLEY RD,Lancaster,Pennsylvania,17601,Lancaster,0,0,0,0,84,0,84,-76.396935 40.066771
1228,GEISINGER WYOMING VALLEY,1000 EAST MOUNTAIN BLVD M.C. 34-06,Wilkes Barre,Pennsylvania,18711,Luzerne,2,1,0,135,304,818,1260,-75.811717 41.256997
1229,East Berlin Pharmacy,335 WEST KING STREET EAST BERLIN,East Berlin,Pennsylvania,17316,Adams,0,0,0,0,168,0,168,-76.982572 39.939036
1230,Geisinger St. Lukes Hospital,100 Paramount Blvd,Orwigsburg,Pennsylvania,17961,Schuylkill,5,1,0,147,7,26,186,-76.09171 40.640986
1231,SCI-Quehanna Boot Camp,4395 Quehanna Highway,Karthaus,PA,16845,Clearfield,0,0,0,0,94,0,94,-78.144977 41.184018
1232,SLPG-ABW Pediatrics Wind Gap,487 East Moorsetown Road,Wind Gap,Pennsylvania,18091,Northampton,0,0,0,24,0,0,24,-75.305134 40.830822
1233,Highlds Hth Laurel Hghlns Free Cha,"315 Locust St, 2nd Floor",Johnstown,Pennsylvania,15901,Cambria,0,0,0,0,64,0,64,-78.920587 40.327188
1234,GHS-BLOOMSBURG HOSPITAL,549 Fair Street,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,0,20,0,20,-76.453193 41.008431
1235,Cornerstone Coord Health Care LLC,40 West Frack Street,Frackville,Pennsylvania,17931,Schuylkill,0,0,0,12,124,0,136,-76.232047 40.784801
1236,VDI-Blairsville Pharmacy,135 E Market St.,Blairsville,Pennsylvania,15717,Indiana,0,0,0,0,592,1149,1741,-79.259878 40.431083
1237,We Care Pediatrics,404 Middletown Blvd Penns Square,Langhorne,Pennsylvania,19047,Bucks,0,0,0,0,1078,319,1397,
1238,WCP Washington,95 Leonard Avenue Bldg#2  Ste#101,Washington,Pennsylvania,15301,Washington,0,0,0,0,13,0,13,-80.240923 40.181738
1239,Northview Heights Health Center,525 Mt. Pleasant Road,Pittsburgh,Pennsylvania,15214,Allegheny,0,0,0,7,60,0,67,-79.999671 40.477184
1240,PSH St Joseph Medical Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,0,0,0,660,0,0,660,-75.977661 40.376717
1241,Wellspan Fam Med Lake St,136 Lake Street,Ephrata,Pennsylvania,17522,Lancaster,0,0,4,69,10,0,83,-76.177569 40.175666
1242,Com Hth and Dental Cre Pottstown,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,227,60,30,317,-75.662171 40.233362
1243,AHN AC IM Boncrsi Brn Johnsn PC Bnk,2891 Banksville Rd,PITTSBURGH,PA,15216,Allegheny,0,0,0,0,56,0,56,-80.040484 40.403578
1244,North Side Christian Health Center,816 Middle Street,Pittsburgh,Pennsylvania,15212,Allegheny,0,0,0,0,251,466,717,-79.999614 40.455241
1245,WHS-Fam Med California,300 Technology Drive,Coal Center,Pennsylvania,15423,Washington,0,0,0,0,3,0,3,-79.912331 40.056341
1246,AHOLD USA-GIANT PHARMACY-6504,300 Lincoln Avenue,East Stroudsburg,PA,18301,Monroe,0,0,0,8,952,11,971,-75.183455 40.992019
1247,TBM Health Services LLC,225 Wilmington West Chester Pk,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,0,330,0,330,-75.538994 39.85126
1248,Centre Volunteers in Medicine,2520 Green Tech Dr.,State College,Pennsylvania,16803,Centre,10,24,0,809,33,910,1786,-77.918776 40.813498
1249,Patton Pharmacy and VS Variety,503 Railroad Avenue Suite 2,Patton,Pennsylvania,16668,Cambria,0,0,0,332,28,0,360,-78.650321 40.638353
1250,LM JADE INC DBA THE MED SHOP #0077,1000 MARKET ST,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,0,130,0,130,-76.451584 40.994416
1251,Nemours DuPont Pediatrics-Media,295 E Baltimore Avenue,Media,Pennsylvania,19063,Delaware,0,0,0,0,204,0,204,-75.384826 39.916167
