Age group,year,week,case_definition,White,Black/African American,American Indian,Asian/Pacific Islander,Multiracial,Hispanic,webDate
65+,2021,33,Completed vaccine series,92.80%,99.20%,78.50%,100%,75.90%,82.30%,9/16/2022
11-May,2021,33,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,33,Completed vaccine series,57.70%,43.40%,39.80%,64.30%,23.90%,45.60%,9/16/2022
45-64,2021,33,Completed vaccine series,61.90%,71.40%,54.50%,85.40%,49.50%,71.20%,9/16/2022
19-44,2021,33,Completed vaccine series,52.90%,42.80%,39.20%,67.10%,29.70%,51.70%,9/16/2022
18-Dec,2021,33,Completed vaccine series,37.90%,30.10%,29.70%,60.40%,17%,37.10%,9/16/2022
12+,2021,33,Completed vaccine series,62.90%,51.50%,46.40%,73.10%,31.10%,54.60%,9/16/2022
65+,2021,32,At least one vaccine dose,94.70%,100%,80.80%,100%,78.10%,85.50%,9/16/2022
11-May,2021,32,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,32,At least one vaccine dose,60.20%,48.60%,44.10%,68.10%,25.70%,50.40%,9/16/2022
45-64,2021,32,At least one vaccine dose,64.10%,76.80%,58.90%,88.50%,51.50%,75.60%,9/16/2022
19-44,2021,32,At least one vaccine dose,56%,49%,44.50%,71.30%,32.10%,57.70%,9/16/2022
18-Dec,2021,32,At least one vaccine dose,43.20%,37.90%,37%,67.50%,19.60%,44.30%,9/16/2022
12+,2021,32,At least one vaccine dose,65.60%,57.60%,51.50%,77.30%,33.50%,60.40%,9/16/2022
65+,2021,32,Completed vaccine series,92.60%,98.70%,78.20%,100%,75.70%,81.90%,9/16/2022
45-64,2021,32,Completed vaccine series,61.50%,70.60%,54.10%,84.90%,49%,70.50%,9/16/2022
19-44,2021,32,Completed vaccine series,52.40%,41.80%,38.50%,66.50%,29.30%,50.80%,9/16/2022
18-Dec,2021,32,Completed vaccine series,36.70%,28.60%,28.40%,58.60%,16.40%,35.40%,9/16/2022
12+,2021,32,Completed vaccine series,62.40%,50.50%,45.80%,72.40%,30.70%,53.60%,9/16/2022
65+,2021,31,At least one vaccine dose,94.40%,100%,80.60%,100%,77.80%,85.10%,9/16/2022
11-May,2021,31,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,31,At least one vaccine dose,59.60%,47.40%,43%,67.30%,25.20%,49.20%,9/16/2022
45-64,2021,31,At least one vaccine dose,63.60%,75.80%,58.10%,88%,51%,74.70%,9/16/2022
19-44,2021,31,At least one vaccine dose,55.20%,47.70%,43.20%,70.50%,31.50%,56.40%,9/16/2022
18-Dec,2021,31,At least one vaccine dose,41.30%,35.20%,34.10%,65.30%,18.70%,42%,9/16/2022
12+,2021,31,At least one vaccine dose,64.90%,56.20%,50.10%,76.40%,32.80%,59%,9/16/2022
65+,2021,31,Completed vaccine series,92.50%,98.20%,78.20%,100%,75.40%,81.40%,9/16/2022
11-May,2021,31,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,31,Completed vaccine series,56.90%,41.90%,38.70%,63.20%,23.30%,44.10%,9/16/2022
45-64,2021,31,Completed vaccine series,61.20%,69.90%,53.60%,84.50%,48.70%,69.90%,9/16/2022
19-44,2021,31,Completed vaccine series,52%,41.10%,37.90%,66%,29.10%,50.10%,9/16/2022
18-Dec,2021,31,Completed vaccine series,35.80%,27.40%,27.30%,57.30%,16%,34.10%,9/16/2022
12+,2021,31,Completed vaccine series,62%,49.70%,45.10%,71.80%,30.40%,52.90%,9/16/2022
65+,2021,30,At least one vaccine dose,94.20%,100%,80.30%,100%,77.30%,84.60%,9/16/2022
11-May,2021,30,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,30,At least one vaccine dose,58.90%,46.10%,42.10%,66.50%,24.70%,48.10%,9/16/2022
45-64,2021,30,At least one vaccine dose,63%,74.60%,57.30%,87.40%,50.40%,73.90%,9/16/2022
19-44,2021,30,At least one vaccine dose,54.40%,46.30%,42.20%,69.70%,31%,54.90%,9/16/2022
18-Dec,2021,30,At least one vaccine dose,39.40%,32.70%,32.10%,63.10%,17.80%,39.80%,9/16/2022
12+,2021,30,At least one vaccine dose,64.20%,54.70%,49.10%,75.50%,32.20%,57.60%,9/16/2022
65+,2021,30,Completed vaccine series,92.30%,97.70%,78.10%,100%,75.10%,81%,9/16/2022
11-May,2021,30,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,30,Completed vaccine series,56.70%,41.20%,38.30%,62.80%,23.10%,43.50%,9/16/2022
45-64,2021,30,Completed vaccine series,61%,69.20%,53.10%,84.20%,48.40%,69.30%,9/16/2022
19-44,2021,30,Completed vaccine series,51.70%,40.40%,37.40%,65.50%,28.90%,49.50%,9/16/2022
18-Dec,2021,30,Completed vaccine series,35%,26.20%,26.40%,56%,15.50%,33%,9/16/2022
12+,2021,30,Completed vaccine series,61.70%,48.90%,44.70%,71.30%,30.10%,52.20%,9/16/2022
65+,2021,29,At least one vaccine dose,94%,100%,80%,100%,77%,84.10%,9/16/2022
11-May,2021,29,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,29,At least one vaccine dose,58.40%,45.10%,41.50%,65.80%,24.30%,47.10%,9/16/2022
45-64,2021,29,At least one vaccine dose,62.50%,73.70%,56.70%,86.90%,50%,73%,9/16/2022
19-44,2021,29,At least one vaccine dose,53.80%,45.10%,41.40%,69.10%,30.50%,53.80%,9/16/2022
18-Dec,2021,29,At least one vaccine dose,38%,30.90%,30.60%,61.20%,17.20%,37.90%,9/16/2022
12+,2021,29,At least one vaccine dose,63.60%,53.50%,48.40%,74.70%,31.70%,56.40%,9/16/2022
65+,2021,29,Completed vaccine series,92.20%,97.10%,77.90%,100%,74.90%,80.50%,9/16/2022
11-May,2021,29,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,29,Completed vaccine series,56.40%,40.60%,37.90%,62.20%,22.80%,42.90%,9/16/2022
45-64,2021,29,Completed vaccine series,60.70%,68.40%,52.70%,83.80%,48.10%,68.80%,9/16/2022
19-44,2021,29,Completed vaccine series,51.40%,39.60%,36.90%,65%,28.60%,48.70%,9/16/2022
18-Dec,2021,29,Completed vaccine series,34.40%,25.10%,25.60%,54.60%,15.10%,31.90%,9/16/2022
12+,2021,29,Completed vaccine series,61.50%,48.10%,44.20%,70.70%,29.80%,51.40%,9/16/2022
65+,2021,28,At least one vaccine dose,93.80%,100%,79.80%,100%,76.70%,83.60%,9/16/2022
11-May,2021,28,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,28,At least one vaccine dose,58%,44.30%,40.90%,65.30%,24%,46.30%,9/16/2022
45-64,2021,28,At least one vaccine dose,62.10%,72.80%,56.20%,86.40%,49.60%,72.20%,9/16/2022
19-44,2021,28,At least one vaccine dose,53.40%,44.20%,40.80%,68.50%,30.20%,53%,9/16/2022
18-Dec,2021,28,At least one vaccine dose,37%,29.50%,29.40%,59.60%,16.70%,36.40%,9/16/2022
12+,2021,28,At least one vaccine dose,63.20%,52.60%,47.70%,74.10%,31.30%,55.50%,9/16/2022
65+,2021,28,Completed vaccine series,92.10%,96.50%,77.80%,100%,74.70%,80.10%,9/16/2022
11-May,2021,28,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,28,Completed vaccine series,56.10%,39.80%,37.50%,61.60%,22.60%,42.20%,9/16/2022
45-64,2021,28,Completed vaccine series,60.50%,67.60%,52.40%,83.30%,47.90%,68.10%,9/16/2022
19-44,2021,28,Completed vaccine series,51.10%,38.80%,36.50%,64.40%,28.40%,47.90%,9/16/2022
18-Dec,2021,28,Completed vaccine series,33.70%,23.90%,24.60%,52.70%,14.70%,30.60%,9/16/2022
12+,2021,28,Completed vaccine series,61.20%,47.20%,43.70%,70%,29.50%,50.60%,9/16/2022
65+,2021,27,At least one vaccine dose,93.70%,100%,79.70%,100%,76.50%,83.30%,9/16/2022
11-May,2021,27,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,27,At least one vaccine dose,57.80%,43.70%,40.50%,64.80%,23.80%,45.70%,9/16/2022
45-64,2021,27,At least one vaccine dose,61.90%,72.10%,55.90%,86.10%,49.30%,71.70%,9/16/2022
19-44,2021,27,At least one vaccine dose,53.10%,43.50%,40.30%,68.10%,30%,52.20%,9/16/2022
18-Dec,2021,27,At least one vaccine dose,36.20%,28.30%,28.60%,58.30%,16.20%,35.30%,9/16/2022
12+,2021,27,At least one vaccine dose,62.90%,51.80%,47.30%,73.60%,31%,54.70%,9/16/2022
65+,2021,27,Completed vaccine series,92%,95.80%,77.40%,100%,74.40%,79.60%,9/16/2022
11-May,2021,27,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,27,Completed vaccine series,55.90%,39%,37%,60.90%,22.30%,41.30%,9/16/2022
45-64,2021,27,Completed vaccine series,60.30%,66.70%,52.10%,82.80%,47.60%,67.40%,9/16/2022
19-44,2021,27,Completed vaccine series,50.80%,37.90%,35.90%,63.70%,28.10%,47%,9/16/2022
18-Dec,2021,27,Completed vaccine series,32.80%,22.50%,23.40%,50.50%,14.20%,29%,9/16/2022
12+,2021,27,Completed vaccine series,60.90%,46.30%,43.20%,69.10%,29.10%,49.60%,9/16/2022
65+,2021,26,At least one vaccine dose,93.60%,100%,79.60%,100%,76.40%,82.80%,9/16/2022
11-May,2021,26,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,26,At least one vaccine dose,57.50%,43%,40.20%,64.30%,23.60%,45%,9/16/2022
45-64,2021,26,At least one vaccine dose,61.70%,71.40%,55.50%,85.70%,49%,71.20%,9/16/2022
19-44,2021,26,At least one vaccine dose,52.80%,42.70%,40%,67.50%,29.80%,51.50%,9/16/2022
18-Dec,2021,26,At least one vaccine dose,35.60%,27.30%,27.80%,56.90%,15.80%,34.20%,9/16/2022
12+,2021,26,At least one vaccine dose,62.70%,51%,46.90%,73%,30.80%,54%,9/16/2022
65+,2021,26,Completed vaccine series,91.90%,95%,77.20%,100%,74.20%,79%,9/16/2022
11-May,2021,26,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,26,Completed vaccine series,55.60%,38.10%,36.50%,60%,22%,40.50%,9/16/2022
45-64,2021,26,Completed vaccine series,60%,65.70%,51.70%,82.20%,47.20%,66.50%,9/16/2022
19-44,2021,26,Completed vaccine series,50.50%,36.90%,35.30%,62.90%,27.80%,46.10%,9/16/2022
18-Dec,2021,26,Completed vaccine series,31.80%,21%,22.20%,47.90%,13.50%,27.40%,9/16/2022
12+,2021,26,Completed vaccine series,60.60%,45.20%,42.60%,68.20%,28.70%,48.50%,9/16/2022
65+,2021,25,At least one vaccine dose,93.50%,99.40%,79.50%,100%,76.10%,82.30%,9/16/2022
11-May,2021,25,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,25,At least one vaccine dose,57.30%,42.30%,39.80%,63.60%,23.40%,44.30%,9/16/2022
45-64,2021,25,At least one vaccine dose,61.50%,70.60%,55.10%,85.20%,48.80%,70.50%,9/16/2022
19-44,2021,25,At least one vaccine dose,52.50%,41.90%,39.50%,66.90%,29.50%,50.60%,9/16/2022
18-Dec,2021,25,At least one vaccine dose,34.90%,25.90%,26.90%,55.20%,15.40%,32.80%,9/16/2022
12+,2021,25,At least one vaccine dose,62.40%,50.10%,46.40%,72.30%,30.40%,53.10%,9/16/2022
65+,2021,25,Completed vaccine series,91.70%,94.20%,77%,100%,74%,78.20%,9/16/2022
11-May,2021,25,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,25,Completed vaccine series,55.20%,37.10%,36%,59.10%,21.70%,39.40%,9/16/2022
45-64,2021,25,Completed vaccine series,59.70%,64.60%,51.30%,81.60%,46.80%,65.40%,9/16/2022
19-44,2021,25,Completed vaccine series,50.10%,35.80%,34.80%,62%,27.50%,44.90%,9/16/2022
18-Dec,2021,25,Completed vaccine series,30.50%,19.20%,20.60%,45.20%,12.90%,25.40%,9/16/2022
12+,2021,25,Completed vaccine series,60.20%,44%,42%,67.20%,28.30%,47.20%,9/16/2022
65+,2021,24,At least one vaccine dose,93.30%,98.70%,79.30%,100%,75.90%,81.70%,9/16/2022
11-May,2021,24,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,24,At least one vaccine dose,57%,41.40%,39.30%,62.90%,23.10%,43.40%,9/16/2022
45-64,2021,24,At least one vaccine dose,61.20%,69.60%,54.70%,84.70%,48.60%,69.70%,9/16/2022
19-44,2021,24,At least one vaccine dose,52.20%,40.90%,38.90%,66.20%,29.20%,49.60%,9/16/2022
18-Dec,2021,24,At least one vaccine dose,34.10%,24.50%,25.80%,53.10%,14.90%,31.20%,9/16/2022
12+,2021,24,At least one vaccine dose,62.10%,49.10%,45.80%,71.40%,30.10%,52%,9/16/2022
65+,2021,24,Completed vaccine series,91.50%,93.20%,76.60%,99.50%,73.70%,77.50%,9/16/2022
45-64,2021,24,Completed vaccine series,59.30%,63.20%,50.70%,80.70%,46.30%,64.10%,9/16/2022
19-44,2021,24,Completed vaccine series,49.60%,34.40%,33.90%,61%,27%,43.40%,9/16/2022
18-Dec,2021,24,Completed vaccine series,28.80%,17%,18.50%,41.60%,11.90%,22.90%,9/16/2022
12+,2021,24,Completed vaccine series,59.70%,42.50%,41%,65.80%,27.70%,45.60%,9/16/2022
65+,2021,23,At least one vaccine dose,93.20%,97.90%,78.70%,100%,75.60%,81%,9/16/2022
11-May,2021,23,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,23,At least one vaccine dose,56.70%,40.40%,38.70%,62%,22.80%,42.50%,9/16/2022
45-64,2021,23,At least one vaccine dose,61%,68.60%,54.30%,84.10%,48.20%,68.70%,9/16/2022
19-44,2021,23,At least one vaccine dose,51.90%,39.80%,38.10%,65.40%,28.90%,48.70%,9/16/2022
18-Dec,2021,23,At least one vaccine dose,33.10%,22.80%,24.50%,50.30%,14.30%,29.30%,9/16/2022
12+,2021,23,At least one vaccine dose,61.80%,47.90%,45.10%,70.50%,29.70%,50.90%,9/16/2022
65+,2021,23,Completed vaccine series,91.20%,91.90%,76.10%,98.70%,73.40%,76.60%,9/16/2022
11-May,2021,23,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,23,Completed vaccine series,53.90%,34.10%,34%,56.10%,20.50%,36.10%,9/16/2022
45-64,2021,23,Completed vaccine series,58.70%,61.30%,49.90%,79.30%,45.60%,62.20%,9/16/2022
19-44,2021,23,Completed vaccine series,48.70%,32.50%,32.70%,59.20%,26.30%,41.40%,9/16/2022
18-Dec,2021,23,Completed vaccine series,25.30%,13.60%,14.60%,35.20%,10.20%,18.80%,9/16/2022
12+,2021,23,Completed vaccine series,58.70%,40.40%,39.60%,63.70%,26.70%,43.30%,9/16/2022
65+,2021,22,At least one vaccine dose,93%,97%,78.40%,100%,75.30%,80.20%,9/16/2022
11-May,2021,22,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,22,At least one vaccine dose,56.30%,39.30%,38%,61%,22.40%,41.30%,9/16/2022
45-64,2021,22,At least one vaccine dose,60.70%,67.30%,53.70%,83.40%,47.70%,67.50%,9/16/2022
19-44,2021,22,At least one vaccine dose,51.40%,38.50%,37.40%,64.40%,28.50%,47.30%,9/16/2022
18-Dec,2021,22,At least one vaccine dose,31.80%,20.90%,22.60%,47.30%,13.60%,27.30%,9/16/2022
12+,2021,22,At least one vaccine dose,61.40%,46.60%,44.30%,69.30%,29.20%,49.50%,9/16/2022
65+,2021,22,Completed vaccine series,90.90%,90.30%,75.80%,97.80%,72.90%,75.50%,9/16/2022
11-May,2021,22,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,22,Completed vaccine series,52.40%,31.80%,32.50%,53.20%,19.10%,33.40%,9/16/2022
45-64,2021,22,Completed vaccine series,57.80%,58.90%,49.20%,77.70%,44.70%,60%,9/16/2022
19-44,2021,22,Completed vaccine series,47.60%,30.30%,31.60%,57.20%,25.40%,38.90%,9/16/2022
18-Dec,2021,22,Completed vaccine series,16.40%,8.30%,8.10%,22.70%,5.90%,11.90%,9/16/2022
12+,2021,22,Completed vaccine series,57.10%,37.70%,37.90%,60.40%,24.80%,40.10%,9/16/2022
65+,2021,21,At least one vaccine dose,92.90%,96.10%,78.20%,100%,75%,79.40%,9/16/2022
11-May,2021,21,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,21,At least one vaccine dose,55.90%,38.10%,37.40%,60%,21.90%,40%,9/16/2022
45-64,2021,21,At least one vaccine dose,60.30%,66.10%,53.20%,82.70%,47.20%,66.20%,9/16/2022
19-44,2021,21,At least one vaccine dose,50.90%,37.20%,36.70%,63.50%,28%,46%,9/16/2022
18-Dec,2021,21,At least one vaccine dose,30.30%,18.80%,20.90%,44%,12.60%,24.90%,9/16/2022
12+,2021,21,At least one vaccine dose,60.90%,45.20%,43.60%,68.20%,28.60%,48%,9/16/2022
65+,2021,21,Completed vaccine series,90.40%,89%,75.20%,96.80%,72.50%,74.20%,9/16/2022
45-64,2021,21,Completed vaccine series,56.90%,56.80%,48.40%,75.80%,43.70%,57.80%,9/16/2022
19-44,2021,21,Completed vaccine series,46.40%,28.50%,30.80%,55.20%,24.60%,36.80%,9/16/2022
18-Dec,2021,21,Completed vaccine series,11.70%,6.20%,6.60%,16.90%,4%,9.20%,9/16/2022
12+,2021,21,Completed vaccine series,55.90%,35.80%,37%,58%,23.70%,37.90%,9/16/2022
65+,2021,20,At least one vaccine dose,92.60%,94.70%,77.80%,100%,74.70%,78.50%,9/16/2022
11-May,2021,20,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,20,At least one vaccine dose,55.10%,36.30%,36.10%,58.20%,21.20%,38.20%,9/16/2022
45-64,2021,20,At least one vaccine dose,59.70%,64.10%,52.50%,81.30%,46.50%,64.50%,9/16/2022
19-44,2021,20,At least one vaccine dose,50.10%,35.30%,35.50%,61.80%,27.40%,44%,9/16/2022
18-Dec,2021,20,At least one vaccine dose,27.10%,15.50%,16.50%,38.50%,11%,21.10%,9/16/2022
12+,2021,20,At least one vaccine dose,60%,43%,42.10%,66.10%,27.70%,45.70%,9/16/2022
65+,2021,20,Completed vaccine series,89.80%,87.20%,74.60%,95.50%,71.60%,72.60%,9/16/2022
11-May,2021,20,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,20,Completed vaccine series,50%,28.20%,30.80%,48.30%,17.30%,29.20%,9/16/2022
45-64,2021,20,Completed vaccine series,55.30%,53.80%,47.20%,72.40%,41.90%,54.20%,9/16/2022
19-44,2021,20,Completed vaccine series,44.60%,26.10%,29.50%,51.60%,23.10%,33.50%,9/16/2022
18-Dec,2021,20,Completed vaccine series,10.70%,5.20%,6%,15.30%,3.50%,7.80%,9/16/2022
12+,2021,20,Completed vaccine series,54.40%,33.50%,36%,54.90%,22.50%,35%,9/16/2022
65+,2021,19,At least one vaccine dose,92.20%,92.90%,77.30%,99.30%,74.20%,77.30%,9/16/2022
11-May,2021,19,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,19,At least one vaccine dose,53.40%,33.60%,34.30%,55%,19.70%,35.10%,9/16/2022
45-64,2021,19,At least one vaccine dose,58.60%,61.50%,51.60%,79.50%,45.40%,62%,9/16/2022
19-44,2021,19,At least one vaccine dose,48.70%,32.60%,34%,59.50%,26.30%,41.20%,9/16/2022
18-Dec,2021,19,At least one vaccine dose,17.60%,9.10%,9.10%,24.50%,6.40%,13.20%,9/16/2022
12+,2021,19,At least one vaccine dose,58.20%,39.80%,40.10%,62.50%,25.70%,42.10%,9/16/2022
65+,2021,19,Completed vaccine series,88.90%,84.40%,73.70%,93.20%,70.20%,70.50%,9/16/2022
45-64,2021,19,Completed vaccine series,52.50%,49.30%,45.60%,66%,39.10%,49.30%,9/16/2022
19-44,2021,19,Completed vaccine series,41.10%,22.60%,27.70%,44.90%,20.70%,28.90%,9/16/2022
18-Dec,2021,19,Completed vaccine series,8.40%,3.40%,5%,11%,2.60%,5.40%,9/16/2022
12+,2021,19,Completed vaccine series,51.80%,30.10%,34.50%,49%,20.50%,30.90%,9/16/2022
65+,2021,18,At least one vaccine dose,91.70%,91.70%,76.80%,98.50%,73.60%,76.10%,9/16/2022
45-64,2021,18,At least one vaccine dose,57.70%,59.40%,50.70%,77.90%,44.40%,59.90%,9/16/2022
19-44,2021,18,At least one vaccine dose,47.50%,30.70%,33%,57.60%,25.40%,39%,9/16/2022
18-Dec,2021,18,At least one vaccine dose,12.20%,6.80%,7.20%,17.80%,4.20%,9.90%,9/16/2022
12+,2021,18,At least one vaccine dose,56.80%,37.90%,39%,60.10%,24.30%,39.80%,9/16/2022
65+,2021,18,Completed vaccine series,87.80%,81.90%,72.90%,90.80%,68.80%,68.50%,9/16/2022
45-64,2021,18,Completed vaccine series,48.60%,45.10%,44%,58.40%,35.90%,43.80%,9/16/2022
19-44,2021,18,Completed vaccine series,36.70%,19.60%,25.70%,37.40%,18%,24.40%,9/16/2022
18-Dec,2021,18,Completed vaccine series,6.10%,2.20%,3.80%,7.30%,1.80%,3.50%,9/16/2022
12+,2021,18,Completed vaccine series,48.50%,27.20%,32.80%,42.30%,18.30%,26.80%,9/16/2022
65+,2021,17,At least one vaccine dose,91.10%,90%,76.30%,97.40%,72.90%,74.50%,9/16/2022
11-May,2021,17,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,17,At least one vaccine dose,51%,30.10%,32.60%,50.70%,17.90%,31.30%,9/16/2022
45-64,2021,17,At least one vaccine dose,56.30%,56.60%,49.70%,75.10%,43%,57.30%,9/16/2022
19-44,2021,17,At least one vaccine dose,45.90%,28.40%,31.80%,54.70%,24.30%,36.40%,9/16/2022
18-Dec,2021,17,At least one vaccine dose,11.30%,5.70%,6.60%,16.20%,3.70%,8.70%,9/16/2022
12+,2021,17,At least one vaccine dose,55.60%,35.70%,38%,57.50%,23.40%,37.50%,9/16/2022
65+,2021,17,Completed vaccine series,86.50%,79.20%,72.20%,88.50%,67.40%,66.60%,9/16/2022
11-May,2021,17,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,17,Completed vaccine series,41.20%,20.70%,26.80%,32%,12.40%,19.60%,9/16/2022
45-64,2021,17,Completed vaccine series,44%,41%,42.20%,50.90%,32.60%,39%,9/16/2022
19-44,2021,17,Completed vaccine series,32.30%,17.20%,24%,30.90%,15.20%,20.90%,9/16/2022
18-Dec,2021,17,Completed vaccine series,4.10%,1.40%,2.80%,4.70%,1.10%,2.30%,9/16/2022
12+,2021,17,Completed vaccine series,44.90%,24.60%,31.30%,36.40%,16.10%,23.50%,9/16/2022
65+,2021,16,At least one vaccine dose,90.30%,87.70%,75.70%,95.50%,71.60%,72.60%,9/16/2022
11-May,2021,16,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,16,At least one vaccine dose,49%,27.30%,31.40%,46.10%,16.50%,27.90%,9/16/2022
45-64,2021,16,At least one vaccine dose,54%,52.50%,48.20%,69.80%,40.50%,52.60%,9/16/2022
19-44,2021,16,At least one vaccine dose,43.10%,24.90%,30.30%,48.90%,22.10%,31.90%,9/16/2022
18-Dec,2021,16,At least one vaccine dose,9.20%,3.90%,5.50%,12.10%,2.90%,6.20%,9/16/2022
12+,2021,16,At least one vaccine dose,53.40%,32.40%,36.70%,52.40%,21.60%,33.50%,9/16/2022
65+,2021,16,Completed vaccine series,85%,76.50%,71.30%,86%,65.90%,64.40%,9/16/2022
45-64,2021,16,Completed vaccine series,39.10%,37.10%,40.30%,43%,28.90%,33.80%,9/16/2022
19-44,2021,16,Completed vaccine series,27.70%,15.30%,22%,25.20%,12.80%,17.40%,9/16/2022
18-Dec,2021,16,Completed vaccine series,2.60%,1%,1.90%,2.90%,0.60%,1.50%,9/16/2022
12+,2021,16,Completed vaccine series,41.10%,22.40%,29.60%,30.90%,14.10%,20.20%,9/16/2022
65+,2021,15,At least one vaccine dose,89.40%,85.20%,74.80%,92.90%,70.30%,70.60%,9/16/2022
11-May,2021,15,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,15,At least one vaccine dose,46.30%,24.70%,30.10%,40%,14.90%,24.50%,9/16/2022
45-64,2021,15,At least one vaccine dose,50.70%,48.30%,46.60%,62%,37.50%,47.40%,9/16/2022
19-44,2021,15,At least one vaccine dose,39.10%,21.80%,28.40%,41%,19.40%,27.30%,9/16/2022
18-Dec,2021,15,At least one vaccine dose,6.70%,2.50%,4.60%,8.10%,1.90%,4.10%,9/16/2022
12+,2021,15,At least one vaccine dose,50.40%,29.30%,35.10%,45.40%,19.40%,29.30%,9/16/2022
65+,2021,15,Completed vaccine series,83.10%,72.60%,70.30%,82.50%,63.70%,61.50%,9/16/2022
45-64,2021,15,Completed vaccine series,33.10%,32.10%,38.10%,34.90%,24.80%,27.50%,9/16/2022
19-44,2021,15,Completed vaccine series,23.80%,13.60%,20.50%,21%,11%,14.60%,9/16/2022
18-Dec,2021,15,Completed vaccine series,1.70%,0.70%,1.30%,1.90%,0.40%,1%,9/16/2022
12+,2021,15,Completed vaccine series,37.20%,20%,28.10%,26.30%,12.40%,17.10%,9/16/2022
65+,2021,14,At least one vaccine dose,88.20%,82.40%,74%,90.50%,68.80%,68.40%,9/16/2022
11-May,2021,14,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,14,At least one vaccine dose,43%,22.20%,28.60%,34.10%,13.10%,21.10%,9/16/2022
45-64,2021,14,At least one vaccine dose,46%,43.70%,44.90%,53.70%,33.80%,41.50%,9/16/2022
19-44,2021,14,At least one vaccine dose,34.60%,18.80%,26.30%,33.50%,16.40%,22.90%,9/16/2022
18-Dec,2021,14,At least one vaccine dose,4.60%,1.60%,3.10%,5.30%,1.20%,2.60%,9/16/2022
12+,2021,14,At least one vaccine dose,46.80%,26.30%,33.30%,38.70%,17%,25.30%,9/16/2022
65+,2021,14,Completed vaccine series,80.30%,66.70%,68.40%,77.50%,60.40%,57.80%,9/16/2022
45-64,2021,14,Completed vaccine series,26.80%,26.10%,35.10%,26.70%,20.10%,19.10%,9/16/2022
19-44,2021,14,Completed vaccine series,20.50%,11.80%,18.60%,17.40%,9.40%,11.10%,9/16/2022
18-Dec,2021,14,Completed vaccine series,1.10%,0.50%,0.80%,1.20%,0.20%,0.60%,9/16/2022
12+,2021,14,Completed vaccine series,33.30%,17.10%,26.10%,21.90%,10.70%,13.10%,9/16/2022
65+,2021,13,At least one vaccine dose,86.50%,78.50%,73%,87.10%,67.10%,66.20%,9/16/2022
11-May,2021,13,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,13,At least one vaccine dose,38.30%,19.20%,26.80%,27.30%,10.90%,17.60%,9/16/2022
45-64,2021,13,At least one vaccine dose,39.70%,38.10%,42.30%,43.20%,29.20%,35.60%,9/16/2022
19-44,2021,13,At least one vaccine dose,27.90%,15.30%,23.90%,25%,12.90%,18.20%,9/16/2022
18-Dec,2021,13,At least one vaccine dose,2.80%,1.10%,2.20%,3.20%,0.70%,1.80%,9/16/2022
12+,2021,13,At least one vaccine dose,41.70%,22.80%,31.20%,31%,14.30%,21.20%,9/16/2022
65+,2021,13,Completed vaccine series,74.60%,58.90%,65.90%,69.50%,55.60%,52.10%,9/16/2022
45-64,2021,13,Completed vaccine series,20%,20.70%,31.70%,18.50%,16%,13.30%,9/16/2022
